,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
3391,30321656.0,1.0,6.0,6.0,7.0,7.0,-1.0,6.0
3392,30321696.0,1.0,99.0,-1.0,1.0,99.0,-1.0,1.0
3393,30321751.0,1.0,6.0,6.0,6.0,6.0,-1.0,5.0
3394,30321766.0,1.0,3.0,3.0,10.0,4.0,-1.0,5.0
3395,30321776.0,1.0,2.0,2.0,25.0,2.0,8.0,4.0
3396,30321791.0,1.0,15.0,15.0,1.0,8.0,-1.0,3.0
3397,30321816.0,1.0,5.0,99.0,99.0,99.0,-1.0,5.0
3398,30321821.0,1.0,4.0,4.0,3.0,15.0,-1.0,2.0
3399,30321826.0,1.0,2.0,2.0,19.0,10.0,-1.0,3.0
3400,30321851.0,1.0,5.0,5.0,5.0,5.0,-1.0,6.0
3401,30321876.0,1.0,5.0,5.0,3.0,99.0,-1.0,2.0
3402,30321986.0,1.0,1.0,1.0,11.0,11.0,-1.0,4.0
3403,30321996.0,1.0,4.0,4.0,41.0,5.0,-1.0,5.0
3404,30322011.0,1.0,5.0,5.0,10.0,5.0,15.0,6.0
3405,30322026.0,1.0,14.0,14.0,14.0,14.0,2.0,4.0
3406,30322051.0,1.0,99.0,99.0,99.0,99.0,-1.0,2.0
3407,30322071.0,1.0,99.0,5.0,5.0,5.0,-1.0,5.0
3408,30322081.0,1.0,4.0,4.0,15.0,8.0,-1.0,5.0
3409,30322106.0,1.0,3.0,3.0,3.0,3.0,-1.0,4.0
3410,30322146.0,1.0,5.0,5.0,5.0,5.0,-1.0,5.0
3411,30322161.0,1.0,10.0,10.0,10.0,10.0,1.0,5.0
3412,30322206.0,1.0,5.0,5.0,99.0,9.0,7.0,2.0
3413,30322221.0,1.0,2.0,2.0,3.0,10.0,-1.0,2.0
3414,30322246.0,1.0,10.0,-1.0,99.0,6.0,-1.0,2.0
3415,30322251.0,1.0,8.0,8.0,8.0,8.0,8.0,6.0
3416,30322256.0,1.0,11.0,11.0,11.0,11.0,-1.0,2.0
3417,30322341.0,1.0,2.0,5.0,6.0,5.0,-1.0,2.0
3418,30322346.0,1.0,13.0,13.0,13.0,99.0,-1.0,2.0
3419,30322361.0,1.0,12.0,12.0,12.0,6.0,-1.0,5.0
3420,30322376.0,1.0,1.0,1.0,5.0,1.0,-1.0,3.0
3421,30322391.0,1.0,9.0,9.0,4.0,2.0,-1.0,2.0
3422,30322411.0,1.0,5.0,5.0,5.0,5.0,13.0,5.0
3423,30322436.0,1.0,7.0,7.0,20.0,10.0,-1.0,3.0
3424,30322441.0,3.0,1.0,1.0,11.0,10.0,-1.0,4.0
3425,30322451.0,1.0,10.0,10.0,1.0,3.0,12.0,4.0
3426,30322466.0,1.0,2.0,2.0,8.0,10.0,-1.0,5.0
3427,30322526.0,1.0,6.0,-1.0,22.0,5.0,-1.0,2.0
3428,30322531.0,1.0,13.0,13.0,13.0,2.0,-1.0,3.0
3429,30322551.0,1.0,11.0,11.0,99.0,3.0,-1.0,5.0
3430,30322621.0,1.0,12.0,12.0,20.0,5.0,18.0,4.0
3431,30322646.0,1.0,6.0,6.0,6.0,6.0,-1.0,6.0
3432,30322651.0,1.0,6.0,6.0,6.0,99.0,-1.0,1.0
3433,30322666.0,1.0,30.0,10.0,5.0,4.0,-1.0,2.0
